City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tolanaro,-25.0319,46.9987,19.04,82,40,3.09,MG,1699661180
1,altai,46.3722,96.2583,-13.65,91,33,0.83,MN,1699661183
2,hawaiian paradise park,19.5933,-154.9731,27.15,77,75,2.06,US,1699661135
3,tanout,14.9709,8.8879,26.28,17,100,4.55,NE,1699661186
4,kiri buru,22.0833,85.35,17.13,62,22,0.08,IN,1699661193
5,port-aux-francais,-49.35,70.2167,3.22,96,100,16.17,TF,1699661106
6,tiksi,71.6872,128.8694,-13.3,87,100,9.1,RU,1699661098
7,fada,9.5667,8.3,21.77,48,99,0.57,NG,1699661199
8,papatowai,-46.5619,169.4708,17.68,39,0,1.59,NZ,1699661112
9,hithadhoo,-0.6,73.0833,26.87,84,89,6.18,MV,1699661200
10,lebu,-37.6167,-73.65,11.17,82,82,8.98,CL,1699661130
11,uyuni,-20.4597,-66.825,12.57,39,69,5.81,BO,1699661201
12,bilibino,68.0546,166.4372,-27.36,100,97,1.06,RU,1699661141
13,waitangi,-43.9535,-176.5597,12.12,76,98,1.34,NZ,1699661095
14,bikenibeu village,1.3673,173.1241,26.17,89,100,3.74,KI,1699661203
15,isafjordur,66.0755,-23.124,1.12,80,99,1.83,IS,1699661117
16,grytviken,-54.2811,-36.5092,2.11,85,63,5.26,GS,1699661099
17,lagoa,39.05,-27.9833,19.74,91,97,12.32,PT,1699661204
18,yemel'yanovo,56.1681,92.6767,-14.4,84,5,1.0,RU,1699661035
19,sisimiut,66.9395,-53.6735,-5.99,85,94,5.13,GL,1699661205
20,puerto baquerizo moreno,-0.9,-89.6,24.4,82,62,5.43,EC,1699661205
21,mitu,1.1983,-70.1733,23.28,99,96,1.16,CO,1699661206
22,bonthe,7.5264,-12.505,25.69,86,100,1.29,SL,1699661206
23,albany,42.6001,-73.9662,8.23,64,57,0.45,US,1699661130
24,utrik,11.2278,169.8474,27.84,82,100,9.17,MH,1699661145
25,aasiaat,68.7098,-52.8699,-9.04,93,99,2.65,GL,1699661101
26,longyearbyen,78.2186,15.6401,-11.09,79,75,2.06,SJ,1699661146
27,iqaluit,63.7506,-68.5145,-7.15,68,100,2.57,CA,1699661129
28,pisco,-13.7,-76.2167,19.03,82,0,6.69,PE,1699661108
29,badger,64.8,-147.5333,-7.07,89,100,1.54,US,1699661107
30,bredasdorp,-34.5322,20.0403,18.02,73,89,3.41,ZA,1699661108
